POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
55,3.95,6.49,4.07,1.89,0.11,0.0,-0.96,-21.45,0.89,-5.44,0.0,21.43,-19.24,-10.44,2.19,-8.25
56,2.61,13.5,4.38,4.18,1.18,0.0,-1.29,-22.45,0.28,-7.86,0.0,21.78,-18.83,-5.48,2.95,-2.53
57,2.87,8.47,5.58,2.05,0.13,0.0,-1.3,-21.25,0.94,-7.41,0.0,21.64,-19.19,-9.92,2.45,-7.47
58,1.55,7.87,5.82,2.53,0.25,0.0,-1.26,-20.77,0.59,-8.13,0.0,21.76,-19.11,-11.55,2.65,-8.9
59,1.64,9.48,9.58,3.84,0.28,0.0,-0.89,-21.29,2.8,-6.75,0.0,21.19,-19.05,-1.31,2.14,0.84
60,2.86,11.07,6.17,3.55,0.47,0.0,-1.34,-20.89,0.74,-9.33,0.0,21.79,-19.08,-6.7,2.71,-3.99
61,1.17,8.84,7.33,3.05,0.48,0.0,-0.73,-21.05,2.36,-8.51,0.0,21.49,-18.94,-7.05,2.55,-4.5
62,3.03,11.45,6.05,3.14,0.03,0.0,-1.4,-22.14,-0.02,-4.59,0.0,21.71,-19.16,-4.45,2.56,-1.89
63,3.55,11.93,5.34,3.83,0.01,0.0,-1.19,-22.9,1.14,-4.83,0.0,21.92,-18.99,-3.12,2.92,-0.2
64,1.63,9.83,4.77,2.43,0.0,0.0,-1.18,-21.13,1.0,-8.14,0.0,21.47,-19.01,-10.78,2.46,-8.33
65,2.64,10.28,7.16,2.35,0.88,0.0,-1.18,-21.04,1.28,-8.01,0.0,21.4,-19.22,-5.65,2.18,-3.47
66,1.49,10.26,4.99,3.74,0.01,0.0,-1.11,-21.22,0.66,-6.69,0.0,21.78,-19.27,-7.87,2.5,-5.37
67,2.24,8.44,5.76,2.49,0.0,0.0,-1.1,-21.29,0.79,-6.71,0.0,21.54,-19.09,-9.37,2.46,-6.92
68,1.53,10.36,4.61,3.48,0.65,0.0,-0.82,-21.18,2.92,-6.6,0.0,21.46,-18.75,-5.06,2.71,-2.35
69,1.28,9.17,5.22,2.9,0.26,0.0,-1.42,-21.52,0.33,-6.83,0.0,21.54,-18.95,-10.61,2.59,-8.02
70,1.51,7.0,5.17,2.56,0.11,0.0,-1.07,-21.7,0.5,-5.32,0.0,21.58,-19.05,-11.24,2.53,-8.72
71,0.61,9.2,6.66,2.36,0.4,0.0,-1.67,-21.55,0.49,-5.67,0.0,21.79,-18.84,-9.18,2.95,-6.23
72,1.94,8.66,5.77,3.31,0.02,0.0,-0.64,-22.53,0.43,-5.94,0.0,21.71,-19.03,-8.97,2.68,-6.29
73,1.52,9.88,7.37,3.42,0.2,0.0,-1.27,-21.44,1.19,-7.32,0.0,21.54,-18.92,-6.43,2.63,-3.8
74,2.41,8.2,4.16,2.82,0.1,0.0,-0.63,-21.54,1.28,-5.03,0.0,21.51,-18.89,-8.22,2.62,-5.6
75,2.02,9.21,4.33,3.4,0.04,0.0,-1.16,-21.58,1.18,-6.41,0.0,21.36,-19.04,-8.96,2.32,-6.64
76,4.15,9.48,5.72,3.83,0.01,0.0,-0.28,-21.6,0.67,-5.23,0.0,21.72,-19.06,-3.27,2.66,-0.61
77,1.78,8.72,7.6,3.14,0.08,0.0,-0.88,-21.56,1.26,-6.28,0.0,21.37,-18.77,-6.15,2.61,-3.54
78,4.41,7.94,6.42,3.65,0.37,0.0,0.51,-21.43,0.84,-6.41,0.0,21.5,-18.97,-3.7,2.52,-1.18
79,2.56,13.05,6.86,3.6,0.01,0.0,-1.67,-20.62,1.17,-11.26,0.0,21.81,-19.23,-6.3,2.59,-3.71
80,1.56,11.11,6.28,2.75,0.0,0.0,-1.66,-21.68,0.52,-6.95,0.0,21.89,-19.2,-8.07,2.69,-5.38
81,3.35,12.1,6.05,3.77,1.05,0.0,-1.41,-21.32,0.98,-8.68,0.0,21.8,-18.94,-4.11,2.86,-1.25
