POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
92,1.51,11.3,6.19,3.62,0.01,0.0,-0.96,-21.86,0.99,-5.37,0.0,21.43,-19.27,-4.55,2.16,-2.39
93,0.89,8.74,5.41,2.95,0.0,0.0,-0.74,-22.47,1.0,-4.16,0.0,20.98,-18.52,-8.39,2.46,-5.92
94,1.71,6.54,5.42,2.41,0.12,0.0,-0.78,-22.22,0.91,-4.94,0.0,21.39,-18.76,-10.84,2.63,-8.21
95,3.02,10.12,5.42,3.63,0.05,0.0,-0.51,-21.1,1.21,-8.22,0.0,21.51,-19.12,-6.38,2.39,-3.99
96,2.92,11.12,8.27,3.86,0.18,0.0,-0.21,-22.51,1.73,-4.25,0.0,21.29,-19.05,1.11,2.24,3.34
97,1.91,7.18,7.52,2.27,0.05,0.0,-0.56,-21.9,1.3,-7.46,0.0,21.6,-19.19,-9.69,2.41,-7.28
98,2.59,7.97,6.77,3.49,0.23,0.0,-0.47,-22.1,1.55,-6.62,0.0,21.48,-19.21,-6.59,2.27,-4.32
99,4.17,10.91,6.66,4.23,0.01,0.0,1.88,-22.25,0.75,-5.74,0.0,21.38,-18.97,0.62,2.41,3.03
100,1.32,11.19,4.36,2.84,0.04,0.0,-0.33,-21.35,0.16,-8.11,0.0,21.86,-19.2,-9.9,2.65,-7.24

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-18.51,-1.08,-0.0,0.0,0.0,-19.55,31.82,-19.58,12.27,-7.32
2,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-17.58,-1.7,-0.0,0.0,0.0,-18.45,31.29,-19.28,12.84,-6.44
3,0.0,-0.0,0.0,-0.0,0.0,0.0,-20.62,-2.3,0.0,0.0,0.0,-19.2,32.06,-22.92,12.86,-10.06
4,0.0,0.0,0.0,-0.0,0.0,0.0,-16.02,-6.37,0.0,0.0,0.0,-18.99,33.35,-22.39,14.35,-8.04
5,-0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-1.73,0.0,0.0,0.0,-19.8,32.75,-19.72,12.94,-6.78
6,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-17.98,-2.89,-0.0,0.0,0.0,-20.01,31.09,-20.87,11.09,-9.78
7,0.0,0.0,0.0,0.0,0.0,0.0,-23.16,0.14,-0.0,0.0,0.0,-19.24,31.32,-23.02,12.08,-10.94
8,0.0,-0.0,0.0,0.0,0.0,0.0,-15.21,-2.05,-0.0,0.0,0.0,-19.78,31.64,-17.25,11.86,-5.39
9,-0.0,-0.0,-0.0,0.0,0.0,0.0,-15.76,-2.16,-0.0,-0.0,0.0,-18.68,32.57,-17.92,13.89,-4.03
10,-0.0,0.0,-0.0,0.0,0.0,0.0,-18.01,-2.95,-0.0,0.0,0.0,-18.68,32.19,-20.95,13.51,-7.44
11,-0.0,-0.0,0.0,0.0,0.0,0.0,-17.48,-2.53,0.0,-0.0,0.0,-19.31,31.2,-20.01,11.89,-8.12
12,0.0,0.0,-0.0,0.0,-0.0,0.0,-12.61,-2.91,0.0,-0.0,0.0,-18.43,32.21,-15.52,13.78,-1.74
13,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-18.01,-2.16,0.0,0.0,0.0,-18.59,32.32,-20.17,13.73,-6.44
